Date,Client,Mission Reference,Prix Client,Prix Driver,Adresse de départ,Adresse d'arrivée,Retard driver,Driver login,mission Status,Distance total,Durée de la mission,Rating Client,Month
2023-04-18,Company B,290K7Az,38.0,24.0,"30 Rue de Paris, 93130 Noisy-le-Sec, France","3 Avenue Blanche, Villemomble, France",-99.0,test_5@test.com,FINISHED,16.0,44.0,2.0,2023-04
2023-04-18,Company F,EMpZzzA,44.0,30.0,"30 Rue de Paris, 93130 Noisy-le-Sec, France","64 Rue des Vanesses, Villepinte, France",-124.0,test_4@test.com,FINISHED,28.0,40.0,,2023-04
2023-04-18,Company F,HudL1Xb,38.0,24.0,"3 Avenue Blanche, Villemomble, France","30 Rue de Paris, 93130 Noisy-le-Sec, France",-163.0,test_1@test.com,FINISHED,20.0,40.0,,2023-04
2023-04-18,Company F,NeLQL4v,0.0,30.0,"64 Rue des Vanesses, Villepinte, France","30 Rue de Paris, 93130 Noisy-le-Sec, France",-127.0,test_2@test.com,FINISHED,28.0,41.0,5.0,2023-04
2023-04-18,Company F,GVvKwoM,22.5,20.0,"4 Cours de l'Île Seguin, Boulogne-Billancourt, France","15-17 Rue Barbès, 92120 Montrouge, France",-90.0,test_1@test.com,FINISHED,18.0,58.0,,2023-04
2023-04-18,Company E,IQuWqjO,22.5,20.0,"43 Rue Servan, Paris, France","15-17 Rue Barbès, 92120 Montrouge, France",-151.0,test_1@test.com,FINISHED,22.0,61.0,,2023-04
2023-04-18,Company E,gQqiKmh,70.0,48.0,"10 Av. de Saint-Germain, 78560 Le Port-Marly, France","29 Rue Pierre Lamandé, Houilles, France",-88.0,test_3@test.com,CANCELLED,26.0,202.0,,2023-04
2023-04-18,Company E,UzQf4q2,51.0,45.0,"280 Avenue de Colmar, Strasbourg, France","4 Place Adrien Zeller, Strasbourg, France",-451.0,test_4@test.com,FINISHED,20.0,38.0,,2023-04
2023-04-18,Company E,jytAJHR,51.0,45.0,"4 Place Adrien Zeller, Strasbourg, France","280 Avenue de Colmar, Strasbourg, France",-205.0,test_4@test.com,FINISHED,20.0,44.0,,2023-04
2023-04-18,Company E,otzReA8,449.0,355.09,"2 Rue Lisbonne, Agen, France","15 Avenue du Centre, Guyancourt, France",-407.0,test_5@test.com,FINISHED,162.4048780487805,512.0,2.0,2023-04
2023-04-18,Company G,lB0uD1Z,51.0,100.0,"Rue de la Pierre Percée, Montoir-de-Bretagne, Pays de la Loire, 44550, France","1 Rue Thomas Edison, Saint-Nazaire, Pays de la Loire, 44600, France",-419.0,test_2@test.com,FINISHED,28.0,39.0,5.0,2023-04
2023-04-18,Company G,tDQIIbT,199.0,195.82,"Rue de Gautray, Saint-Cyr-en-Val, France","Rue du Bois Barbier, 60880 Le Meux, France",-437.0,test_1@test.com,FINISHED,436.0,248.0,,2023-04
2023-04-18,Company G,B06IoMI,80.0,40.0,"135 Rue de Paris, Saint-Ouen-l'Aumône, France","26 Allée des Frères Voisin, Paris, France",-150.0,test_2@test.com,FINISHED,86.0,69.0,5.0,2023-04
2023-04-18,Company G,mCh4WYb,334.0,168.0,"4 Rue du Château de l'Éraudière, Nantes, France","20 Avenue André Prothin, Courbevoie, France",-410.0,test_3@test.com,FINISHED,896.0,123.13603818615752,,2023-04
2023-04-18,Company H,fqg6cme,64.77,88.32,"11 Rue des Sablons, 75116 Paris, France","61 Rue Henri Regnault, Courbevoie, France",1.0,test_5@test.com,FINISHED,12.0,42.0,2.0,2023-04
2023-04-19,Company H,1A6glcU,281.0,165.0,"SOMEDAT STVA, QUARTIER DU PARC DE L'ARTILLERIE, MIRAMAS, 13140, FRA","1094 Route Jean Natale, Carros, France",-217.0,test_2@test.com,FINISHED,544.0,224.0,5.0,2023-04
2023-04-19,Company H,5N8Jk93,106.0,22.0,1 rue de l'ile de France 94460 Valenton,17 rue jouffroy d'abbans 75017  paris,-280.0,test_1@test.com,FINISHED,42.0,99.0,,2023-04
2023-04-19,Company H,EGReGAH,132.0,60.0,"7 Rue des Frères Salvez, 01500 Ambérieu-en-Bugey, France",3 rue des vergers 69760  limonest,-179.0,test_5@test.com,FINISHED,52.0,72.0,2.0,2023-04
2023-04-19,Company H,LXnWSmo,344.0,228.0,1 rue de l'ile de France 94460 Valenton,"20 rue du bourg nouveau,  rennes, France",30.0,test_3@test.com,FINISHED,732.0,227.0,,2023-04
2023-04-19,Company I,35BVUPp,28.0,20.0,"3 Place de l'Europe, Vélizy-Villacoublay, France","105, Bd Gabriel Péri 92240 Malakoff",-138.0,test_2@test.com,FINISHED,30.0,59.0,,2023-04
2023-04-19,Company I,Eo8z29g,30.0,23.0,"25 Avenue du Docteur Lannelongue, Montrouge, France","105, Bd Gabriel Péri 92240 Malakoff",-137.0,test_3@test.com,FINISHED,6.0,32.0,,2023-04
2023-04-19,Company I,Q7EvquM,30.0,23.0,"74, route de la Reine 92100 Boulogne","174 Rue des Vignes, 92000 Nanterre, France",-145.0,test_3@test.com,FINISHED,20.0,46.0,,2023-04
2023-04-19,Company A,DDzWIIs,22.5,21.0,"142 Boulevard de la Villette, Paris, France","39 Avenue Louis Breguet, 78140 Vélizy-Villacoublay, France",-169.0,test_5@test.com,FINISHED,56.0,73.0,2.0,2023-04
2023-04-19,Company A,JFJs9WP,0.0,0.0,"93 Avenue Emile Zola, 75015 Paris, France","2 Rue Corot, Paris, France",-141.0,test_4@test.com,CANCELLED,4.0,123.0,,2023-04
2023-04-19,Company A,58UQduJ,22.5,20.0,"6 Rue Fructidor, Saint-Ouen-sur-Seine, France","11 Rue des Sablons, 75116 Paris, France",2.0,test_3@test.com,FINISHED,14.0,34.0,,2023-04
2023-04-19,Company B,L74MYz1,22.5,16.0,"11 Rue des Sablons, 75116 Paris, France","6 Rue Fructidor, Saint-Ouen-sur-Seine, France",-86.0,test_2@test.com,FINISHED,16.0,69.0,,2023-04
2023-04-19,Company B,P5CGvEK,22.5,20.0,"6 Rue Fructidor, Saint-Ouen-sur-Seine, France","11 Rue des Sablons, 75116 Paris, France",-61.0,test_2@test.com,FINISHED,14.0,39.0,,2023-04
2023-04-19,Company C,ZN4BMZA,22.5,20.0,"11 Rue des Sablons, 75116 Paris, France","6 Rue Fructidor, Saint-Ouen-sur-Seine, France",100000.0,test_4@test.com,FINISHED,16.0,52.0,,2023-04
2023-04-19,Company C,dVymG8b,22.5,20.0,"11 Rue des Sablons, 75116 Paris, France","61 Rue Henri Regnault, Courbevoie, France",-172.0,test_3@test.com,FINISHED,12.0,54.0,,2023-04
2023-04-19,Company E,5jsc51j,38.0,27.0,"30 Rue de Paris, 93130 Noisy-le-Sec, France","53 Avenue Jean Jaurès, Le Bourget, France",-133.0,test_5@test.com,FINISHED,18.0,40.0,2.0,2023-04
2023-04-19,Company E,8lnuShS,25.0,15.0,"11 Boulevard du Colonel Fabien, 94200 Ivry-sur-Seine, France","8 Rue de Rémusat, Paris, France",-477.0,test_1@test.com,FINISHED,30.0,42.0,,2023-04
2023-04-19,Company E,PvQAsKx,38.0,27.0,"53 Avenue Jean Jaurès, Le Bourget, France","30 Rue de Paris, 93130 Noisy-le-Sec, France",-117.0,test_2@test.com,FINISHED,12.0,32.0,,2023-04
2023-04-19,Company E,T4vhBkr,44.0,15.0,"26 Avenue Albert Einstein, Le Blanc-Mesnil, France","30 Rue de Paris, 93130 Noisy-le-Sec, France",-86.0,test_5@test.com,FINISHED,20.0,35.0,2.0,2023-04
2023-04-19,Company E,phNslsw,44.0,30.0,"30 Rue de Paris, 93130 Noisy-le-Sec, France","26 Avenue Albert Einstein, Le Blanc-Mesnil, France",-147.0,test_1@test.com,FINISHED,20.0,40.0,,2023-04
2023-04-19,Company F,Ha3F2uI,449.0,350.0,"Chemin des Crans, Bédoin, Provence-Alpes-Côte d'Azur, 84410, France","112 Route du Barp, Mios, Nouvelle-Aquitaine, 33380, France",-794.0,test_1@test.com,FINISHED,162.4048780487805,380.0,,2023-04
2023-04-19,Company F,6bp4S7a,60.0,30.0,"49 Rue Louis Blanc, Courbevoie, France","26 Allée des Frères Voisin, Paris, France",-64.0,test_4@test.com,FINISHED,24.0,46.0,,2023-04
2023-04-19,Company F,U9GEgaK,518.38,366.38,"51 Rue Roger Salengro, Vénissieux, France","26 Allée des Frères Voisin, Paris, France",-233.0,test_4@test.com,FINISHED,992.0,460.0,,2023-04
2023-04-19,Company F,L0QJkaa,81.0,50.0,"Zac De La Vatine, 76130 Mont-Saint-Aignan, France","363 Rue Denis Papin, Barentin, France",-149.0,test_3@test.com,FINISHED,34.0,45.0,,2023-04
2023-04-19,Company F,ZJxQBxx,334.0,235.07,"4 Rue du Château de l'Éraudière, Nantes, France","20 Avenue André Prothin, Courbevoie, France",-32.0,test_1@test.com,FINISHED,896.0,323.0,,2023-04
2023-04-19,Company G,cbGdtuX,393.0,320.0,"97 Allée Alexandre Borodine, Saint-Priest, France","9A Rue du Parc, Oberhausbergen, France",-231.0,test_2@test.com,FINISHED,940.0,442.0,,2023-04
2023-04-19,Company G,KM3VdbN,75.0,55.0,"860 Route du Chaoure, Vignaux, France","5 Rue Seveso, 31150 Fenouillet, France",-157.0,test_4@test.com,FINISHED,74.0,95.0,,2023-04
2023-04-19,Company G,ldw6Ef3,145.0,95.0,"6 Rue Jean de La Bruyère, Reims, France","1598 Rte de Quarante Sous, 78630 Orgeval, France",-71.0,test_4@test.com,FINISHED,390.0,207.0,,2023-04
2023-04-19,Company G,ITpP4mw,45.65,20.0,"9 Av. Claude Vellefaux, 75010 Paris, France","126 Avenue Vauban, Livry-Gargan, France",100000.0,test_1@test.com,FINISHED,36.0,57.0,,2023-04
2023-04-19,Company H,ey8wBrR,586.0,390.0,"5 Rte des Loges, 91290 La Norville, France","Traverse Decormis, Marseille, France",0.0,test_2@test.com,FINISHED,162.4048780487805,123.13603818615752,,2023-04
2023-04-19,Company H,tOXoQOr,352.0,318.55,"1193 Avenue de l'Europe, Villefranche-sur-Saône, France","37 Avenue Joffre, Gagny, France",-293.0,test_3@test.com,FINISHED,900.0,433.0,,2023-04
2023-04-19,Company H,7stNfin,113.0,73.0,"Av. Aristide Briand, 76000 Rouen, France","6 Route de la Butte, Crouttes, France",-158.0,test_5@test.com,FINISHED,242.0,143.0,,2023-04
2023-04-19,Company H,hb1QW5L,465.0,380.0,"1 Av. Louis Mouillard, 69500 Bron, France","20 Rue de Pont-Sainte-Maxence, Cinqueux, France",943.0,test_3@test.com,FINISHED,162.4048780487805,16.0,,2023-04
2023-04-19,Company H,Z1hzN9M,105.0,73.0,99 Boulevard Lefebvre 75015 Paris,"27 Avenue de Bir Hakeim, Noisy-le-Sec, France",-288.0,test_4@test.com,FINISHED,82.0,122.0,,2023-04
2023-04-20,Company J,9MNgCJm,22.5,20.0,"6 Avenue Réaumur, Clamart, France","39 Avenue Louis Breguet, 78140 Vélizy-Villacoublay, France",-8.0,test_3@test.com,FINISHED,14.0,22.0,,2023-04
2023-04-20,Company J,NUgo9pk,58.95,33.0,"39 Avenue Louis Breguet, 78140 Vélizy-Villacoublay, France","33 Rue des Vanesses, Villepinte, France",-96.0,test_5@test.com,FINISHED,86.0,116.0,,2023-04
2023-04-20,Company J,E4AnarP,106.0,21.0,1 rue de l'ile de France 94460 Valenton,19 rue de vienne 75008  paris,-39.0,test_2@test.com,FINISHED,40.0,77.0,,2023-04
2023-04-20,Company J,EMM2Kul,344.0,243.86,"7 Rue des Frères Salvez, 01500 Ambérieu-en-Bugey, France",280 avenue de verdun 83600  frejus,379.0,test_3@test.com,FINISHED,746.0,331.0,,2023-04
2023-04-20,Company K,Flrsdt1,99.0,28.0,1 rue de l'ile de France 94460 Valenton,2 rue de boullay les troux 91470  les molieres,-251.0,test_1@test.com,FINISHED,44.0,108.0,,2023-04
2023-04-20,Company K,H1TiQ6e,90.0,60.0,"131 Rue du 1er Mai, Nanterre, France","26 Allée des Frères Voisin, Paris, France",-43.0,test_4@test.com,FINISHED,34.0,53.0,,2023-04
2023-04-20,Company K,arW9ryp,60.0,15.0,"9 Chemin de Bretagne, Issy-les-Moulineaux, France","26 Allée des Frères Voisin, Paris, France",-92.0,test_2@test.com,FINISHED,4.0,26.0,,2023-04
2023-04-20,Company K,eTWX1Kq,60.0,30.0,"9 Chemin de Bretagne, Issy-les-Moulineaux, France","26 Allée des Frères Voisin, Paris, France",-104.0,test_5@test.com,FINISHED,4.0,30.0,0.0,2023-04
2023-04-20,Company K,FtyBw4f,31.95,24.0,"74, route de la Reine 92100 Boulogne","174 Rue des Vignes, Nanterre, France",-212.0,test_3@test.com,FINISHED,18.0,48.0,,2023-04
2023-04-20,Company C,bZ6wkqz,30.0,23.0,"174 Rue des Vignes, Nanterre, France","74, route de la Reine 92100 Boulogne",-139.0,test_5@test.com,FINISHED,18.0,55.0,0.0,2023-04
2023-04-20,Company C,FGzHIX3,38.0,25.0,"12 Allée Notre-Dame-des-Anges, Le Raincy, France","30 Rue de Paris, 93130 Noisy-le-Sec, France",-148.0,test_5@test.com,FINISHED,16.0,38.0,0.0,2023-04
2023-04-20,Company L - M,MQYsVDp,38.0,26.0,"30 Rue de Paris, 93130 Noisy-le-Sec, France","12 Allée Notre-Dame-des-Anges, Le Raincy, France",-96.0,test_5@test.com,FINISHED,16.0,45.0,0.0,2023-04
2023-04-20,Company L - M,3s3IZ9M,22.5,20.0,"80 Quai Voltaire, Bezons, France","116 Avenue Henri Barbusse, 92700 Colombes, France",-96.0,test_4@test.com,FINISHED,12.0,56.0,,2023-04
2023-04-20,Company L - M,EOLwWWJ,35.0,24.0,"10 Av. de Saint-Germain, 78560 Le Port-Marly, France","20 Rue Danton, Rueil-Malmaison, France",-99.0,test_3@test.com,FINISHED,18.0,41.0,,2023-04
2023-04-20,Company N - O,DcJtdwQ,35.0,30.0,"4 Rue Albert de Dion, 44700 Orvault, France","3 Avenue Augustin-Louis Cauchy, Nantes, France",-194.0,test_4@test.com,FINISHED,22.0,24.0,,2023-04
2023-04-20,Company N - O,EQZsChK,35.0,30.0,"3 Avenue Augustin-Louis Cauchy, Nantes, France","4 Rue Albert de Dion, 44700 Orvault, France",-145.0,test_3@test.com,FINISHED,20.0,24.0,,2023-04
2023-04-20,Company P,G3yaWlk,35.0,30.0,"3 Avenue Augustin-Louis Cauchy, Nantes, France","4 Rue Albert de Dion, 44700 Orvault, France",-124.0,test_1@test.com,FINISHED,20.0,24.0,,2023-04
2023-04-20,Company A,DdYmjZO,233.0,150.0,"9 Rue Gustave Eiffel, Castres, Occitanie, 81100, France","batiment e19 / 370 Avenue Alphonse Daudet, Salon-de-Provence, Provence-Alpes-Côte d'Azur, 13300, France",-517.0,test_2@test.com,FINISHED,594.0,243.0,,2023-04
2023-04-20,Company A,GI83nnJ,551.0,489.51,"12 Rue Sainte-Barbe, Maxéville, Grand Est, 54320, France","2 Boulevard Euromediterranée Quai d'Arenc, Marseille, Provence-Alpes-Côte d'Azur, 13002, France",-265.0,test_4@test.com,FINISHED,162.4048780487805,508.0,,2023-04
2023-04-20,Company B,jMSo5ci,35.0,27.0,"8 Rue des Genévriers, 59118 Wambrechies, France","449 Av. de Dunkerque, 59160 Lille, France",-140.0,test_3@test.com,FINISHED,16.0,35.0,,2023-04
2023-04-20,Company D,gOjReoo,229.0,194.99,"3 Impasse Ampère, Pusignan, France","34 Rue Henri Matisse, Lempdes, France",-100.0,test_3@test.com,FINISHED,422.0,205.0,,2023-04
2023-04-20,Company D,627L6A5,380.0,166.0,"6 Rue des Peupliers, 92000 Nanterre, France","8 Rue Jules Ferry, Saint-Symphorien-d'Ozon, France",-244.0,test_5@test.com,FINISHED,162.4048780487805,297.0,0.0,2023-04
2023-04-20,Company F,qTREUTY,125.0,97.0,"5 Rue du Poirier Vert, Marigny-en-Orxois, France","1598 Rte de Quarante Sous, 78630 Orgeval, France",-229.0,test_3@test.com,FINISHED,250.0,127.0,,2023-04
2023-04-20,Company F,5OATHU5,465.0,415.57,"Rue du Bois Barbier, 60880 Le Meux, France","431 Rue Aristide Bergès, Rives, France",-302.0,test_4@test.com,FINISHED,162.4048780487805,18.0,,2023-04
2023-04-21,Company F,061Lf3i,99.0,35.0,1 rue de l'ile de France 94460 Valenton,"15 rue jean jaures ,  fontenay aux roses , France",1.0,test_4@test.com,FINISHED,46.0,55.0,,2023-04
2023-04-21,Company F,1EaLdVG,84.0,100.0,"16 residence les glaieuls,  billy sur aisne, France","Route de Picardie, 60190 Avrigny, France",0.0,test_5@test.com,FINISHED,132.0,123.13603818615752,0.0,2023-04
2023-04-21,Company E,BmgEpVt,281.0,290.0,"1 Avenue de l'Europe, 31620 Castelnau-d'Estrétefonds, France",2 rue la cafourche 17800  bougneau,0.0,test_2@test.com,FINISHED,520.0,123.13603818615752,,2023-04
2023-04-21,Company E,ExWpgIa,127.0,81.0,"37 rue antoine de st exupéry,  mably, France","7 Rue des Frères Salvez, 01500 Ambérieu-en-Bugey, France",0.0,test_5@test.com,FINISHED,264.0,123.13603818615752,,2023-04
2023-04-21,Company E,Fyebd2F,51.0,46.0,"1260 rue de la république,  jaux, France","Route de Picardie, 60190 Avrigny, France",-51.0,test_4@test.com,FINISHED,34.0,110.0,,2023-04
2023-04-21,Company E,5EsIzIe,55.0,40.0,"1 Rue du Parc des Vergers, Tigery, France","39 Avenue Louis Breguet, 78140 Vélizy-Villacoublay, France",-84.0,test_3@test.com,FINISHED,84.0,54.0,,2023-04
2023-04-21,Company E,ITRnylk,30.0,22.0,"74, route de la Reine 92100 Boulogne","2 Rue Adolphe Yvon, 75016 Paris, France",-107.0,test_1@test.com,FINISHED,10.0,33.0,,2023-04
2023-04-21,Company G,OOpVQF8,30.0,21.0,"29 Rue Frémicourt, 75015 Paris, France","19 Rue de Dantzig, Paris, France",-163.0,test_3@test.com,FINISHED,6.0,17.0,,2023-04
2023-04-21,Company G,VnG5iQO,30.0,21.0,"19 Rue de Dantzig, Paris, France","29 Rue Frémicourt, 75015 Paris, France",-99.0,test_1@test.com,FINISHED,6.0,33.0,,2023-04
2023-04-21,Company H,282d32u,22.5,20.0,"42 Avenue Aristide Briand, Bagneux, France","15-17 Rue Barbès, 92120 Montrouge, France",-93.0,test_2@test.com,FINISHED,8.0,67.0,,2023-04
2023-04-21,Company H,2zkVAgt,35.0,25.0,"10 Av. de Saint-Germain, 78560 Le Port-Marly, France","10 Rue d'Estienne d'Orves, Rueil-Malmaison, France",-108.0,test_5@test.com,FINISHED,18.0,38.0,,2023-04
2023-04-21,Company J,GcciaRH,22.5,20.0,"15-17 Rue Barbès, 92120 Montrouge, France","43 Rue Servan, Paris, France",-208.0,test_3@test.com,FINISHED,26.0,41.0,,2023-04
2023-04-21,Company C,U9FCUUV,22.5,15.0,"49 Boulevard Murat, Paris, France","116 Avenue Henri Barbusse, 92700 Colombes, France",-157.0,test_2@test.com,FINISHED,22.0,45.0,,2023-04
2023-04-21,Company C,geXAV08,29.7,20.0,"1 Avenue Réaumur, Le Plessis-Robinson, France","80 Rue de Longchamp, 75016 Paris, France",195.0,test_1@test.com,FINISHED,34.0,78.0,,2023-04
2023-04-21,Company B,uPhQ5T6,0.0,22.0,"4 Avenue Gabriel Péri, 78360 Montesson, France","18 Quai Charles de Gaulle, Carrières-sur-Seine, France",-68.0,test_1@test.com,FINISHED,16.0,41.0,,2023-04
2023-04-21,Company B,jXMgo65,687.0,465.0,"Mougins, 06250, France","151 Boulevard National, Rueil-Malmaison, France",0.0,test_5@test.com,FINISHED,162.4048780487805,123.13603818615752,,2023-04
